ID,birth,education,marital_status,income,number_of_children,days_since_last_purchase,customer_enrollment_date,customer_complaint_status,discounted_purchases,website_purchases,catalogue_purchases,store_purchases,web_visits_month,campaign1_accepted,campaign2_accepted,campaign3_accepted,campaign4_accepted,campaign5_accepted
10972,1949,Graduation,Widow,72298.0,0,52,10-03-2014,0,1,4,3,6,1,0,0,0,1,1
55,1963,Graduation,Together,56253.0,1,83,07-12-2012,0,4,7,2,9,6,0,0,0,0,0
1581,1980,Graduation,Married,37406.0,1,18,10-10-2013,0,1,1,0,2,8,0,0,0,0,0
6318,1988,Graduation,Married,68487.0,0,48,13-01-2013,0,1,9,7,13,4,0,0,0,0,0
3332,1985,Graduation,Single,29760.0,1,87,29-08-2012,0,4,3,1,4,8,0,0,0,0,0
716,1949,PhD,Together,67911.0,1,63,22-05-2014,0,3,6,7,11,3,0,0,0,0,0
7301,1982,2n Cycle,Single,23616.0,1,76,17-11-2012,0,2,3,0,3,8,0,0,0,0,0
4790,1958,Graduation,Divorced,79803.0,1,54,02-06-2014,0,1,4,3,5,1,0,0,0,0,0
8720,1978,2n Cycle,Together,,0,53,12-08-2012,0,0,0,0,1,0,0,0,0,1,0
10420,1955,Master,Divorced,46390.0,1,56,05-05-2014,0,1,4,2,3,7,0,0,0,0,0
10949,1963,PhD,Divorced,72968.0,0,8,16-12-2013,0,1,5,5,8,3,1,0,0,0,0
2613,1960,Master,Married,54197.0,1,16,03-04-2014,0,2,1,3,6,1,0,0,0,0,0
2747,1988,PhD,Married,67546.0,0,90,31-08-2012,0,1,4,10,5,3,0,0,0,0,0
1773,1978,2n Cycle,Married,12393.0,0,38,04-12-2012,0,1,2,0,3,9,0,0,0,0,0
10163,1984,PhD,Single,82733.0,0,28,10-09-2013,0,1,8,4,7,4,0,0,0,0,0
2021,1975,Graduation,Married,61456.0,1,47,27-03-2013,0,4,6,10,13,4,0,0,0,0,0
6424,1977,Graduation,Together,33178.0,1,9,30-01-2014,0,1,1,0,3,4,0,0,0,0,0
8427,1956,Master,Single,64857.0,0,78,23-11-2012,0,1,7,5,10,4,0,0,0,0,0
5068,1971,Graduation,Single,22804.0,1,75,31-07-2013,0,1,2,0,2,9,0,0,0,0,0
2634,1979,Master,Single,16653.0,1,10,18-04-2014,0,3,2,1,3,6,0,0,0,0,0
3231,1973,Graduation,Married,37971.0,1,97,25-11-2013,0,1,1,0,3,8,0,0,0,0,0
1362,1972,Graduation,Single,31907.0,0,75,04-03-2013,0,1,6,1,6,7,0,0,0,0,0
8213,1980,2n Cycle,Together,14515.0,1,71,09-11-2012,0,4,2,2,3,7,0,0,0,0,0
8700,1986,Basic,Single,14906.0,0,86,22-12-2012,0,3,2,1,3,7,0,0,0,0,0
5272,1965,Master,Married,53843.0,1,64,27-06-2013,0,4,8,5,3,7,0,0,0,0,0
7972,1955,Graduation,Single,72906.0,0,79,17-09-2013,0,1,3,4,9,1,0,0,0,0,0
10897,1974,Graduation,Married,67445.0,1,63,12-08-2012,0,5,9,6,12,6,0,0,0,0,0
9606,1965,PhD,Married,69969.0,0,64,27-08-2013,0,1,4,2,6,3,1,0,0,0,1
1100,1960,Master,Together,41275.0,3,33,24-03-2014,0,4,3,1,3,5,0,0,0,0,0
737,1949,PhD,Married,80360.0,0,56,03-03-2013,0,2,4,4,5,2,1,0,0,1,1
3645,1972,PhD,Single,27213.0,1,19,30-08-2012,0,3,2,0,4,8,0,0,0,0,0
9495,1982,Graduation,Together,71853.0,0,29,08-05-2013,0,1,2,8,6,1,0,0,0,0,0
5048,1971,PhD,Single,42767.0,2,53,11-05-2013,0,1,3,1,2,8,0,0,0,0,0
8663,1974,Graduation,Divorced,39996.0,2,85,22-05-2014,0,1,1,0,2,6,0,0,0,0,0
713,1977,Master,Married,50353.0,0,72,08-06-2014,0,1,4,4,6,3,0,0,0,0,0
3690,1986,Master,Married,80141.0,0,20,11-01-2013,0,1,7,4,10,6,0,0,0,0,1
9362,1965,Graduation,Single,69263.0,1,14,05-03-2014,0,1,9,1,7,6,0,0,0,1,0
7527,1968,Master,Divorced,23748.0,1,97,21-11-2012,0,3,2,1,3,8,0,0,0,0,0
8492,1978,Graduation,Together,75437.0,0,25,09-11-2013,0,1,8,4,10,6,1,0,0,0,0
7005,1981,Graduation,Single,58684.0,0,71,16-06-2014,0,1,5,3,12,2,0,0,0,1,0
5474,1970,Graduation,Single,43020.0,1,79,30-11-2013,0,3,4,1,4,6,0,0,0,0,0
1501,1982,PhD,Married,160803.0,0,21,04-08-2012,0,15,0,28,1,0,0,0,0,0,0
4001,1946,PhD,Together,64014.0,3,56,10-06-2014,0,7,8,2,5,7,1,0,0,0,0
6218,1965,Graduation,Married,59594.0,1,74,20-10-2012,0,1,8,1,7,7,0,0,0,1,0
1386,1967,Graduation,Together,32474.0,2,0,11-05-2014,0,1,1,0,2,7,0,0,0,0,0
4002,1960,PhD,Married,77037.0,1,3,13-10-2013,0,1,7,7,12,3,0,0,0,0,0
2918,1981,Graduation,Divorced,28510.0,2,72,13-04-2013,0,3,2,0,4,5,0,0,0,0,0
9589,1948,PhD,Widow,82032.0,0,54,05-04-2014,0,0,4,6,7,1,0,0,0,0,0
8207,1957,2n Cycle,Married,53233.0,1,18,18-03-2014,0,1,1,0,3,4,0,0,0,0,0
7235,1975,2n Cycle,Married,17003.0,1,37,09-12-2013,0,3,2,0,4,5,0,0,0,0,0
4676,1951,Master,Widow,73705.0,2,86,05-03-2014,0,2,9,6,8,5,0,0,0,0,0
1403,1975,2n Cycle,Together,34984.0,2,40,06-09-2012,0,2,1,0,3,7,0,0,0,0,0
5830,1972,PhD,Single,86857.0,0,96,12-09-2012,0,1,5,6,10,2,0,0,0,0,0
8175,1992,Graduation,Married,34935.0,0,71,21-06-2013,0,1,2,1,4,7,0,0,0,0,0
8686,1979,Basic,Together,23724.0,1,65,08-01-2013,0,2,2,0,3,8,0,0,0,0,0
7947,1969,Graduation,Married,42231.0,2,99,25-03-2014,0,1,1,0,3,5,0,0,0,0,0
1650,1960,Master,Married,81843.0,0,13,22-04-2013,0,1,5,9,12,3,0,0,0,0,0
1092,1980,Graduation,Married,61014.0,1,17,11-08-2012,0,4,9,3,4,7,0,0,0,0,0
2546,1977,2n Cycle,Single,31878.0,1,7,22-06-2014,0,1,1,0,4,3,0,0,0,0,0
6634,1979,Master,Divorced,33462.0,1,78,,0,1,2,0,3,7,0,0,0,0,0
5837,1967,Graduation,Married,51479.0,2,67,28-12-2012,0,7,6,3,6,7,0,0,0,0,0
10659,1979,2n Cycle,Together,7500.0,1,7,07-05-2013,0,4,3,2,2,7,0,0,0,0,0
1626,1973,PhD,Divorced,35860.0,2,37,19-05-2014,0,2,1,1,2,5,0,0,1,0,0
2782,1961,PhD,Married,54456.0,1,23,11-07-2013,0,3,6,1,7,6,0,0,0,0,0
2429,1954,Graduation,Divorced,72071.0,1,4,14-02-2013,0,3,5,4,8,2,0,0,0,0,0
